matematica,fund_computacao,tec_computacao,linha_de_pesquisa
9.0,11.0,4.0,Inteligência Artificial e Ciência de Dados
5.0,13.0,3.0,Sistemas de Computação
12.0,21.0,12.0,Sistemas de Computação
7.0,15.0,8.0,Sistemas de Computação
3.0,10.0,6.0,Engenharia de Software e Interação
4.0,13.0,11.0,Engenharia de Software e Interação
10.0,16.0,6.0,Inteligência Artificial e Ciência de Dados
15.0,16.0,8.0,Inteligência Artificial e Ciência de Dados
7.0,18.0,3.0,Outras
10.0,13.0,7.0,Inteligência Artificial e Ciência de Dados
5.0,11.0,4.0,Sistemas de Computação
10.0,18.0,9.0,Sistemas de Computação
6.0,15.0,6.0,Engenharia de Software e Interação
4.0,11.0,8.0,Sistemas de Computação
13.0,15.0,8.0,Outras
11.0,15.0,6.0,Engenharia de Software e Interação
2.0,12.0,6.0,Engenharia de Software e Interação
5.0,14.0,9.0,Outras
11.0,16.0,8.0,Sistemas de Computação
10.0,13.0,5.0,Engenharia de Software e Interação
8.0,15.0,10.0,Inteligência Artificial e Ciência de Dados
9.0,18.0,8.0,Engenharia de Software e Interação
9.0,15.0,6.0,Sistemas de Computação
9.0,14.0,6.0,Inteligência Artificial e Ciência de Dados
12.0,14.0,8.0,Inteligência Artificial e Ciência de Dados
9.0,13.0,10.0,Engenharia de Software e Interação
13.0,16.0,11.0,Inteligência Artificial e Ciência de Dados
5.0,13.0,6.0,Sistemas de Computação
6.0,9.0,7.0,Inteligência Artificial e Ciência de Dados
7.0,15.0,5.0,Engenharia de Software e Interação
6.0,13.0,3.0,Engenharia de Software e Interação
6.0,13.0,7.0,Engenharia de Software e Interação
4.0,14.0,7.0,Engenharia de Software e Interação
6.0,15.0,5.0,Sistemas de Computação
9.0,18.0,9.0,Inteligência Artificial e Ciência de Dados
8.0,14.0,7.0,Inteligência Artificial e Ciência de Dados
7.0,16.0,10.0,Engenharia de Software e Interação
4.0,10.0,5.0,Engenharia de Software e Interação
7.0,15.0,7.0,Engenharia de Software e Interação
8.0,11.0,6.0,Inteligência Artificial e Ciência de Dados
7.0,16.0,7.0,Engenharia de Software e Interação
4.0,15.0,9.0,Engenharia de Software e Interação
6.0,14.0,4.0,Outras
15.0,19.0,11.0,Sistemas de Computação
5.0,12.0,8.0,Outras
7.0,10.0,7.0,Inteligência Artificial e Ciência de Dados
14.0,20.0,9.0,Inteligência Artificial e Ciência de Dados
7.0,13.0,8.0,Sistemas de Computação
5.0,16.0,7.0,Engenharia de Software e Interação
5.0,10.0,9.0,Sistemas de Computação
8.0,13.0,7.0,Inteligência Artificial e Ciência de Dados
13.0,12.0,7.0,Outras
5.0,14.0,7.0,Engenharia de Software e Interação
5.0,10.0,11.0,Inteligência Artificial e Ciência de Dados
6.0,9.0,2.0,Outras
3.0,10.0,6.0,Engenharia de Software e Interação
6.0,11.0,4.0,Engenharia de Software e Interação
8.0,14.0,6.0,Inteligência Artificial e Ciência de Dados
11.0,11.0,4.0,Outras
6.0,14.0,11.0,Inteligência Artificial e Ciência de Dados
7.0,14.0,6.0,Inteligência Artificial e Ciência de Dados
9.0,14.0,6.0,Sistemas de Computação
8.0,13.0,7.0,Sistemas de Computação
3.0,13.0,6.0,Engenharia de Software e Interação
7.0,17.0,10.0,Outras
7.0,21.0,11.0,Inteligência Artificial e Ciência de Dados
12.0,15.0,7.0,Inteligência Artificial e Ciência de Dados
7.0,13.0,9.0,Inteligência Artificial e Ciência de Dados
9.0,22.0,10.0,Engenharia de Software e Interação
9.0,13.0,8.0,Outras
10.0,15.0,10.0,Inteligência Artificial e Ciência de Dados
4.0,12.0,5.0,Sistemas de Computação
7.0,12.0,8.0,Inteligência Artificial e Ciência de Dados
7.0,12.0,4.0,Educação em Computação e Sociedade
7.0,12.0,5.0,Inteligência Artificial e Ciência de Dados
10.0,18.0,8.0,Outras
10.0,16.0,5.0,Sistemas de Computação
6.0,18.0,5.0,Outras
7.0,11.0,5.0,Educação em Computação e Sociedade
8.0,15.0,12.0,Educação em Computação e Sociedade
6.0,13.0,9.0,Sistemas de Computação
6.0,14.0,4.0,Sistemas de Computação
8.0,11.0,8.0,Sistemas de Computação
6.0,14.0,4.0,Engenharia de Software e Interação
8.0,16.0,6.0,Sistemas de Computação
11.0,15.0,7.0,Engenharia de Software e Interação
8.0,13.0,7.0,Engenharia de Software e Interação
3.0,14.0,7.0,Sistemas de Computação
16.0,24.0,9.0,Inteligência Artificial e Ciência de Dados
3.0,13.0,5.0,Engenharia de Software e Interação
11.0,19.0,10.0,Engenharia de Software e Interação
10.0,13.0,5.0,Outras
7.0,20.0,8.0,Inteligência Artificial e Ciência de Dados
5.0,13.0,5.0,Engenharia de Software e Interação
6.0,12.0,5.0,Engenharia de Software e Interação
9.0,14.0,5.0,Sistemas de Computação
6.0,15.0,4.0,Engenharia de Software e Interação
4.0,10.0,4.0,Sistemas de Computação
5.0,15.0,6.0,Engenharia de Software e Interação
10.0,16.0,11.0,Engenharia de Software e Interação
12.0,11.0,5.0,Inteligência Artificial e Ciência de Dados
4.0,11.0,5.0,Sistemas de Computação
9.0,16.0,7.0,Outras
15.0,21.0,10.0,Outras
11.0,10.0,7.0,Outras
3.0,10.0,5.0,Inteligência Artificial e Ciência de Dados
10.0,7.0,7.0,Inteligência Artificial e Ciência de Dados
7.0,9.0,8.0,Sistemas de Computação
8.0,12.0,8.0,Sistemas de Computação
10.0,13.0,9.0,Inteligência Artificial e Ciência de Dados
8.0,12.0,8.0,Engenharia de Software e Interação
4.0,15.0,6.0,Outras
4.0,10.0,11.0,Engenharia de Software e Interação
9.0,11.0,3.0,Inteligência Artificial e Ciência de Dados
9.0,13.0,4.0,Engenharia de Software e Interação
4.0,9.0,4.0,Engenharia de Software e Interação
7.0,15.0,9.0,Sistemas de Computação
13.0,21.0,11.0,Engenharia de Software e Interação
8.0,16.0,9.0,Engenharia de Software e Interação
10.0,16.0,9.0,Inteligência Artificial e Ciência de Dados
8.0,18.0,6.0,Engenharia de Software e Interação
9.0,15.0,7.0,Outras
7.0,10.0,7.0,Inteligência Artificial e Ciência de Dados
9.0,11.0,5.0,Engenharia de Software e Interação
6.0,12.0,8.0,Inteligência Artificial e Ciência de Dados
14.0,13.0,8.0,Outras
8.0,13.0,6.0,Engenharia de Software e Interação
9.0,15.0,3.0,Sistemas de Computação
6.0,15.0,7.0,Sistemas de Computação
12.0,15.0,8.0,Engenharia de Software e Interação
9.0,13.0,4.0,Inteligência Artificial e Ciência de Dados
3.0,12.0,2.0,Sistemas de Computação
3.0,12.0,5.0,Engenharia de Software e Interação
11.0,21.0,9.0,Outras
13.0,14.0,11.0,Inteligência Artificial e Ciência de Dados
8.0,16.0,13.0,Outras
13.0,20.0,11.0,Sistemas de Computação
8.0,13.0,3.0,Outras
2.0,18.0,8.0,Inteligência Artificial e Ciência de Dados
2.0,11.0,6.0,Sistemas de Computação
9.0,10.0,4.0,Engenharia de Software e Interação
7.0,13.0,4.0,Outras
4.0,9.0,3.0,Inteligência Artificial e Ciência de Dados
4.0,13.0,5.0,Engenharia de Software e Interação
6.0,9.0,7.0,Educação em Computação e Sociedade
9.0,14.0,8.0,Sistemas de Computação
14.0,15.0,7.0,Inteligência Artificial e Ciência de Dados
7.0,15.0,5.0,Engenharia de Software e Interação
7.0,11.0,5.0,Sistemas de Computação
2.0,16.0,9.0,Inteligência Artificial e Ciência de Dados
10.0,17.0,10.0,Engenharia de Software e Interação
7.0,13.0,7.0,Inteligência Artificial e Ciência de Dados
4.0,12.0,8.0,Inteligência Artificial e Ciência de Dados
9.0,15.0,6.0,Engenharia de Software e Interação
12.0,14.0,4.0,Engenharia de Software e Interação
8.0,16.0,5.0,Outras
7.0,14.0,8.0,Engenharia de Software e Interação
11.0,18.0,7.0,Inteligência Artificial e Ciência de Dados
4.0,13.0,10.0,Outras
6.0,15.0,4.0,Sistemas de Computação
9.0,17.0,14.0,Outras
13.0,18.0,10.0,Outras
3.0,12.0,7.0,Engenharia de Software e Interação
8.0,12.0,12.0,Engenharia de Software e Interação
10.0,18.0,4.0,Inteligência Artificial e Ciência de Dados
7.0,18.0,10.0,Engenharia de Software e Interação
11.0,14.0,9.0,Sistemas de Computação
5.0,14.0,4.0,Inteligência Artificial e Ciência de Dados
7.0,13.0,10.0,Engenharia de Software e Interação
10.0,17.0,4.0,Inteligência Artificial e Ciência de Dados
7.0,18.0,7.0,Engenharia de Software e Interação
7.0,19.0,14.0,Sistemas de Computação
10.0,15.0,8.0,Sistemas de Computação
4.0,16.0,4.0,Outras
8.0,13.0,7.0,Engenharia de Software e Interação
8.0,14.0,7.0,Inteligência Artificial e Ciência de Dados
4.0,12.0,8.0,Sistemas de Computação
9.0,18.0,8.0,Outras
13.0,16.0,6.0,Inteligência Artificial e Ciência de Dados
7.0,12.0,7.0,Outras
8.0,7.0,0.0,Outras
13.0,17.0,4.0,Inteligência Artificial e Ciência de Dados
11.0,16.0,7.0,Inteligência Artificial e Ciência de Dados
9.0,11.0,13.0,Outras
7.0,10.0,8.0,Sistemas de Computação
12.0,17.0,7.0,Sistemas de Computação
15.0,15.0,11.0,Engenharia de Software e Interação
7.0,18.0,11.0,Inteligência Artificial e Ciência de Dados
4.0,10.0,4.0,Engenharia de Software e Interação
10.0,14.0,6.0,Engenharia de Software e Interação
4.0,9.0,5.0,Inteligência Artificial e Ciência de Dados
12.0,12.0,9.0,Inteligência Artificial e Ciência de Dados
9.0,13.0,5.0,Engenharia de Software e Interação
7.0,14.0,11.0,Engenharia de Software e Interação
13.0,15.0,9.0,Inteligência Artificial e Ciência de Dados
9.0,16.0,11.0,Sistemas de Computação
5.0,10.0,3.0,Inteligência Artificial e Ciência de Dados
7.0,12.0,7.0,Sistemas de Computação
7.0,12.0,7.0,Sistemas de Computação
7.0,13.0,6.0,Engenharia de Software e Interação
9.0,17.0,6.0,Outras
8.0,11.0,8.0,Engenharia de Software e Interação
6.0,9.0,6.0,Inteligência Artificial e Ciência de Dados
10.0,13.0,6.0,Sistemas de Computação
10.0,16.0,6.0,Inteligência Artificial e Ciência de Dados
8.0,14.0,7.0,Outras
9.0,16.0,10.0,Inteligência Artificial e Ciência de Dados
10.0,18.0,9.0,Inteligência Artificial e Ciência de Dados
11.0,18.0,8.0,Sistemas de Computação
11.0,16.0,12.0,Inteligência Artificial e Ciência de Dados
8.0,19.0,8.0,Inteligência Artificial e Ciência de Dados
11.0,15.0,5.0,Sistemas de Computação
12.0,21.0,11.0,Inteligência Artificial e Ciência de Dados
8.0,16.0,11.0,Inteligência Artificial e Ciência de Dados
8.0,10.0,5.0,Engenharia de Software e Interação
