idade,sexo,estado,presença,cargo,especialidade,algoritmos_e_estruturas_de_dados,analise_combinatoria,analise_de_algoritmos,arquitetura_e_organizacao_de_computadores,banco_de_dados,calculo_diferencial_e_integral,circuitos_digitais,compiladores,computacao_grafica,engenharia_de_software,geometria_analitica,inteligencia_artificial,linguagens_de_programacao,linguagens_formais_automatos_e_computabilidade,logica_matematica,matematica_discreta,organizacao_de_arquivos_e_dados,probabilidade_e_estatistica,processamento_de_imagens,redes_de_computadores,sistemas_distribuidos,sistemas_operacionais,teoria_dos_grafos,tecnicas_de_programacao,algebra_linear,ano,matematica,fund_computacao,tec_computacao
1982-07-31,feminino,pe,s,mestrado/doutorado,interação humano-computador,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2016,4.0,11.0,9.0
1981-09-22,feminino,sp,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1982-07-26,feminino,es,s,mestrado/doutorado,computação aplicada,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,2016,14.0,11.0,7.0
1990-06-22,feminino,sp,n,mestrado/doutorado,engenharia de software,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1985-03-22,feminino,ba,n,mestrado/doutorado,engenharia de software,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1977-04-16,feminino,rj,s,mestrado/doutorado,banco de dados,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2016,6.0,8.0,6.0
1988-06-10,masculino,pr,s,mestrado/doutorado,redes de computadores,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,0.0,2016,6.0,13.0,6.0
1987-05-23,masculino,mt,s,mestrado/doutorado,teoria da computação,3.0,2.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2016,17.0,24.0,11.0
1994-10-13,masculino,al,s,mestrado/doutorado,computação gráfica,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,2016,11.0,12.0,10.0
1991-05-20,masculino,sp,s,mestrado/doutorado,redes de computadores,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,2.0,2016,7.0,19.0,6.0
1990-06-25,masculino,sp,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1981-05-20,masculino,al,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1978-02-24,masculino,sc,s,mestrado/doutorado,engenharia de software,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,2016,8.0,15.0,8.0
1991-12-29,masculino,sp,s,mestrado/doutorado,inteligência artificial,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0,2016,9.0,13.0,7.0
1973-02-15,masculino,sp,s,mestrado/doutorado,informática na educação,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,2.0,2016,8.0,14.0,8.0
1989-07-20,masculino,ma,s,mestrado/doutorado,modelagem computacional,1.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,3.0,2016,11.0,15.0,9.0
1992-01-09,masculino,sp,s,mestrado/doutorado,banco de dados,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2016,11.0,16.0,8.0
1993-08-20,masculino,ce,s,mestrado/doutorado,aplicações computacionais,1.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2016,9.0,11.0,6.0
1990-07-10,masculino,rs,s,mestrado/doutorado,processamento paralelo e distribuído,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2016,7.0,15.0,4.0
1994-07-12,masculino,ma,n,mestrado/doutorado,sistemas de computação,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1988-02-09,masculino,sp,n,mestrado/doutorado,inteligência artificial,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1995-12-04,masculino,pa,s,mestrado/doutorado,sistemas inteligentes,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,2016,9.0,16.0,8.0
1993-04-08,masculino,ms,s,mestrado/doutorado,engenharia de software,3.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2016,4.0,17.0,8.0
1982-07-23,masculino,sc,n,mestrado/doutorado,inteligência artificial,,,,,,,,,,,,,,,,,,,,,,,,,,2016,0.0,0.0,0.0
1992-04-03,masculino,mt,s,mestrado/doutorado,inteligência artificial,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2016,6.0,18.0,9.0
1987-11-16,masculino,rs,s,mestrado/doutorado,computação aplicada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,1.0,2016,7.0,11.0,7.0
1991-02-21,masculino,rs,s,mestrado/doutorado,processamento paralelo e distribuído,3.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2016,11.0,19.0,10.0
1989-04-19,masculino,sp,s,mestrado/doutorado,banco de dados,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,2016,7.0,20.0,7.0
